Activity,Profile_Age,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Football,55-59,113,,199.79891017375513,0.36597115543361963,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.07432649946081434,0.36926308498883953,8
Football,60-64,80,,167.80391573214695,0.39495395891567764,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.06007509003456812,0.3835105212534238,8
Football,65-69,45,,120.19386031835765,0.49681283276204746,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.044387281517176115,0.49763113076610965,8
Football,70-74,27,,102.07006049955667,0.6035929221398069,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.037663565678679366,0.6040955985430506,8
Football,75-79,12,,50.56757010244738,0.6551045597824251,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.019847274363805394,0.6973934794841967,8
Football,80+,10,,49.41029199355359,0.9085822356498935,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.01846867710176326,0.9211303275654148,8
Soccer,0-4,595,1500.0,411.01180214891804,0.28312309640628985,1500.0,True,passes conservative screen,0.8,0.1589838282224444,0.19777072128151363,8
Soccer,5-9,6049,18700.0,4147.666130776292,0.2223456051791554,18700.0,True,passes conservative screen,10.3,1.0713120221545493,0.10371194487848348,8
Soccer,10-14,19769,62100.0,11059.366989707876,0.178045160904658,62100.0,True,passes conservative screen,34.4,1.699034772172894,0.04939582148343888,8
Soccer,15-19,14868,53800.0,7532.44220659829,0.13996862365020515,53800.0,True,passes conservative screen,29.8,1.122351794964114,0.037662741538557254,8
Soccer,20-24,3349,15600.0,2228.5173086569216,0.1431146952264816,15600.0,True,passes conservative screen,8.6,0.9879571812436418,0.11457619127622692,8
Soccer,25-29,2031,8800.0,1395.380235733035,0.15893138686359662,8800.0,True,passes conservative screen,4.9,0.6570022319467931,0.13513628986886525,8
Soccer,30-34,1536,7000.0,1156.6965451043811,0.1642247493260187,7000.0,True,passes conservative screen,3.9,0.5186428820528147,0.1329767246717634,8
Soccer,35-39,1040,4800.0,928.3006378068484,0.1949967457841084,4800.0,True,passes conservative screen,2.6,0.39524962743594566,0.14993334307987197,8
Soccer,40-44,722,3300.0,654.1034895090567,0.1972925391613196,3300.0,True,passes conservative screen,1.8,0.31736467192119355,0.17286649145319039,8
Soccer,45-49,476,2200.0,522.3435112420901,0.23739113030075296,2200.0,True,passes conservative screen,1.2,0.2345309637181733,0.19248483222865112,8
Soccer,50-54,272,1300.0,399.8604025016852,0.3129378074410446,1300.0,True,passes conservative screen,0.7,0.1921297342899734,0.27153902813055936,8
Soccer,55-59,130,,208.3515479854362,0.366661226744031,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.103854424743181,0.33005118829225216,8
Soccer,60-64,87,,164.29565780385767,0.4030563241729518,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.08560233053379068,0.37923925383384394,8
Soccer,65-69,53,,117.83893551604926,0.42725708558670256,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.06304361421297187,0.4127904168461406,8
Soccer,70-74,27,,65.19270297986554,0.5701355292992651,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.037146136227163985,0.5866523378232068,8
Soccer,75-79,25,,75.96956800877294,0.5978970424707284,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.04208915426617098,0.5981980431859326,8
Soccer,80+,16,,75.86098542767652,0.6947346481027347,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.0431367480844066,0.7134046267712124,8
Swimming/diving,0-4,5092,,7707.089658132088,0.3854595979798857,,False,"CV bound outside [0, 0.33]",,2.1459100585761752,0.19084022692334773,8
Swimming/diving,5-9,9559,39500.0,12271.31667091068,0.31036496295623006,39500.0,True,passes conservative screen,22.2,2.5065500857544563,0.11272697875406129,8
Swimming/diving,10-14,8207,34500.0,8307.35510469375,0.2407136764349241,34500.0,True,passes conservative screen,19.4,1.2333929618476251,0.0635491012171367,8
Swimming/diving,15-19,3524,17100.0,3007.5389319432406,0.17556297983083313,17100.0,True,passes conservative screen,9.6,0.7951163744439305,0.08253199418655309,8
Swimming/diving,20-24,1650,9800.0,1540.6059366458817,0.15696503144098856,9800.0,True,passes conservative screen,5.5,0.986223502392086,0.1786720614456237,8
Swimming/diving,25-29,1301,8000.0,1197.1204296526967,0.1497991708539906,8000.0,True,passes conservative screen,4.5,0.7242984716701178,0.16116068027801958,8
Swimming/diving,30-34,1159,7000.0,1193.7883424991292,0.16990233775782823,7000.0,True,passes conservative screen,4.0,0.6711775843850925,0.16985542433985512,8
Swimming/diving,35-39,1065,6800.0,1133.7375014431545,0.16767210299408214,6800.0,True,passes conservative screen,3.8,0.6664435157642516,0.17525951352298844,8
Swimming/diving,40-44,901,5700.0,974.0593764007822,0.17009976077263755,5700.0,True,passes conservative screen,3.2,0.5485502152203773,0.17033528336208076,8
Swimming/diving,45-49,768,4700.0,852.3220278247446,0.18298836779949545,4700.0,True,passes conservative screen,2.6,0.44210767430663006,0.16877875552048033,8
Swimming/diving,50-54,765,4900.0,1024.4273919748857,0.20742033639856192,4900.0,True,passes conservative screen,2.8,0.47809888934831035,0.17213050487928322,8
Swimming/diving,55-59,688,4400.0,905.3459417978081,0.20528437693327312,4400.0,True,passes conservative screen,2.5,0.4472165918450061,0.18031389851631724,8
Swimming/diving,60-64,616,4000.0,996.9518422046009,0.25216426139958714,4000.0,True,passes conservative screen,2.2,0.4118972990748906,0.1852542819875757,8
Swimming/diving,65-69,568,3600.0,997.4537713118663,0.2762984699749583,3600.0,True,passes conservative screen,2.0,0.3588091993460323,0.17673364251816023,8
Swimming/diving,70-74,434,,1047.9204849715522,0.35783427250355343,,False,"CV bound outside [0, 0.33]",,0.45757582143480124,0.27783479087433666,8
Swimming/diving,75-79,312,,801.2860894626926,0.38502214986129835,,False,"CV bound outside [0, 0.33]",,0.3124740395501877,0.2669820166337285,8
Swimming/diving,80+,390,,1118.7564632144022,0.4083703625719372,,False,"CV bound outside [0, 0.33]",,0.45510287525587906,0.2953916356923914,8
Baseball/softball,0-4,703,2800.0,542.3515455799065,0.19410782624299877,2800.0,True,passes conservative screen,1.9,0.3129309389264286,0.16511046939989302,8
Baseball/softball,5-9,4174,15500.0,2339.3593028920063,0.1507111967616588,15500.0,True,passes conservative screen,10.5,0.9146435884187032,0.08686892105057743,8
Baseball/softball,10-14,11432,46000.0,6525.656512688238,0.1419618129666073,46000.0,True,passes conservative screen,31.2,1.9207052639628641,0.06159876403381372,8
Baseball/softball,15-19,8216,36000.0,4515.330678769115,0.12540696907720625,36000.0,True,passes conservative screen,24.4,1.1397500667699434,0.04666654854390552,8
Baseball/softball,20-24,1523,8800.0,1180.674229851878,0.13493315716995405,8800.0,True,passes conservative screen,5.9,0.7096034510808322,0.11955514262093953,8
Baseball/softball,25-29,1265,7100.0,964.3363078639641,0.13488288385196354,7100.0,True,passes conservative screen,4.8,0.6184652036605817,0.12752858453354796,8
Baseball/softball,30-34,1258,7600.0,1025.1740798047208,0.1344241933744218,7600.0,True,passes conservative screen,5.2,0.6428967353025654,0.1242753478356174,8
Baseball/softball,35-39,1049,6200.0,904.6665600169316,0.144980007683316,6200.0,True,passes conservative screen,4.2,0.5466717546449339,0.12915468405911243,8
Baseball/softball,40-44,776,4600.0,703.4396334693415,0.1530633757550848,4600.0,True,passes conservative screen,3.1,0.4075962225193403,0.13074905204096357,8
Baseball/softball,45-49,623,3600.0,558.6146824861291,0.15695903445929196,3600.0,True,passes conservative screen,2.4,0.3637136704554354,0.15065985379733185,8
Baseball/softball,50-54,465,2700.0,485.45132592328184,0.18055613711131596,2700.0,True,passes conservative screen,1.8,0.3166481616912092,0.17362308916651098,8
Baseball/softball,55-59,307,1800.0,467.11695753255935,0.2583073892095366,1800.0,True,passes conservative screen,1.2,0.2830999841580416,0.23078893673459513,8
Baseball/softball,60-64,243,1400.0,463.38350650763743,0.3229200274496235,1400.0,True,passes conservative screen,1.0,0.285942873822016,0.29376336324794083,8
