Body_Region,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Multiple/systemic,25-34,1165,6700.0,1296.7479246919588,0.19484072316419615,6700.0,True,passes conservative screen,2.7,0.4121115491651637,0.15075010579946946,8
Multiple/systemic,35-44,797,4500.0,935.2890919542739,0.2090014682712703,4500.0,True,passes conservative screen,2.8,0.47194717352856946,0.1692793937433309,8
Multiple/systemic,45-54,740,4400.0,1131.4086223882298,0.2547940378836943,4400.0,True,passes conservative screen,3.8,0.7588881261163561,0.19998583232166767,8
Multiple/systemic,55-64,804,5000.0,1300.4617669064185,0.2593040450985599,5000.0,True,passes conservative screen,5.2,0.8727678668524077,0.16924857655932218,8
Multiple/systemic,65-74,1102,,3262.4122455513702,0.41800876324027264,,False,"CV bound outside [0, 0.33]",,1.935072686850909,0.21495508468944263,8
Multiple/systemic,75+,963,,2794.8132390101587,0.4169912543888165,,False,"CV bound outside [0, 0.33]",,1.9301596906996423,0.17609768444674898,8
Internal/systemic,0-4,241,,279.11149804765887,0.3194667951970517,,False,estimate < 1200,,0.4480104234638358,0.2366403747970266,8
Internal/systemic,5-9,94,,100.3810456239777,0.4005047377364763,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.054390919713427965,0.4006435353119882,8
Internal/systemic,10-14,44,,67.37318016274334,0.5368763761458951,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.012293102816593005,0.5415965395628617,8
Internal/systemic,15-17,19,,33.08523955866943,0.7786037785288809,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.008697217334498075,0.7971320342051312,8
Internal/systemic,18-24,10,,43.13481041597528,0.824845689327639,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.014214068370125864,0.839251783266341,8
Internal/systemic,25-34,9,,21.220527448891907,0.7725151422634607,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.009033532083339785,0.8006212017992275,8
Internal/systemic,35-44,4,,26.499337500000003,1.0000000000000002,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.017126734423046186,1.0374012922118716,8
Internal/systemic,45-54,4,,23.675774999999987,0.9999999999999994,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.021211366423280434,1.048373747625787,8
Internal/systemic,55-64,4,,22.95318989069206,0.9261251493549368,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.0256674105073923,1.0072174891063403,8
Internal/systemic,65-74,0,,0.0,,,False,CV unassessed; proportion CV unassessed or > 0.33,,0.0,,8
Internal/systemic,75+,2,,11.465374999999998,0.9999999999999999,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.021998778299548244,1.1732661694005415,8
Not stated/other,0-4,70,,106.32463245730935,0.5264836290992796,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.2490098421162621,0.5690104245019552,8
Not stated/other,5-9,195,,251.40764771546398,0.3864462151564759,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.1454432902723257,0.41274332515132367,8
Not stated/other,10-14,423,,440.35654965533274,0.3415415350127231,,False,"CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.0827450369574194,0.3548200395770148,8
Not stated/other,15-17,286,,345.14046559791325,0.32474939429875066,,False,estimate < 1200; proportion CV unassessed or > 0.33,,0.09108845308174417,0.3337978322569118,8
Not stated/other,18-24,244,,458.761114688393,0.36940494085428105,,False,"CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.14706260303883179,0.3656347012288089,8
Not stated/other,25-34,189,,340.32415566337204,0.33124270222580493,,False,"estimate < 1200; CV bound outside [0, 0.33]",,0.13610576211795647,0.3225141129660561,8
Not stated/other,35-44,149,,308.7621295350437,0.3901034232963375,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.19124249980295202,0.387835343083745,8
Not stated/other,45-54,134,,276.18205165280807,0.3871999956998773,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.24053987999826718,0.39461962283290664,8
Not stated/other,55-64,173,,369.370000555469,0.38070671362685293,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.37861040791591016,0.37952119721538385,8
Not stated/other,65-74,197,,418.02175653540127,0.37067630531740964,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.5460425244446082,0.41978440186649296,8
Not stated/other,75+,196,,523.5279345288393,0.4161485598342516,,False,"CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.9459537988939025,0.4597954939959985,8
