Activity,Cluster_Region,Source_Year,n,estimate,cv_approx,annual_pass
Exercise/fitness,Upper limb,2017,1517,59400.0,0.08848982155429252,True
Exercise/fitness,Trunk/spine,2017,2849,120900.0,0.12758524777154578,True
Exercise/fitness,Lower limb,2017,3766,153800.0,0.09636652896262192,True
Exercise/fitness,Other/systemic,2017,661,31800.0,0.17153370716039462,True
Football,Head/neck,2017,2644,75300.0,0.0895512249652805,True
Football,Upper limb,2017,4271,135100.0,0.0837978635664332,True
Football,Trunk/spine,2017,895,30400.0,0.09298114196789144,True
Football,Lower limb,2017,2966,94900.0,0.08752637076206161,True
Football,Other/systemic,2017,109,3700.0,0.244479732057953,True
Soccer,Head/neck,2017,1651,45200.0,0.15417301729704377,True
Soccer,Upper limb,2017,2034,54500.0,0.15466334627474973,True
Soccer,Trunk/spine,2017,575,18300.0,0.18638678539084713,True
Soccer,Lower limb,2017,3183,97400.0,0.12895517696647937,True
Soccer,Other/systemic,2017,67,2300.0,0.19092633851824498,True
Swimming/diving,Head/neck,2017,2726,103900.0,0.20137411787181397,True
Swimming/diving,Upper limb,2017,457,19100.0,0.14838134741455725,True
Swimming/diving,Trunk/spine,2017,502,20800.0,0.17768106603383252,True
Swimming/diving,Lower limb,2017,847,33300.0,0.15517714919259573,True
Swimming/diving,Other/systemic,2017,689,21100.0,0.24391503799853148,True
Baseball/softball,Head/neck,2017,2017,68400.0,0.10257910972578753,True
Baseball/softball,Upper limb,2017,1409,53400.0,0.10410974071865602,True
Baseball/softball,Trunk/spine,2017,339,13300.0,0.15026871217204646,True
Baseball/softball,Lower limb,2017,1244,48700.0,0.11113200471981624,True
Baseball/softball,Other/systemic,2017,66,2800.0,0.21511062967085245,True
Weight training,Head/neck,2017,318,12300.0,0.1165793587162447,True
Weight training,Upper limb,2017,882,34400.0,0.0861198597314558,True
Weight training,Trunk/spine,2017,958,39800.0,0.10780536442552473,True
Weight training,Lower limb,2017,498,18400.0,0.09208779424651589,True
Weight training,Other/systemic,2017,54,2300.0,0.2664664075232148,True
Other sport/recreation,Head/neck,2017,753,21800.0,0.09846816934739241,True
Other sport/recreation,Upper limb,2017,927,29000.0,0.11402468126027307,True
Other sport/recreation,Trunk/spine,2017,315,11000.0,0.13398330346470627,True
Other sport/recreation,Lower limb,2017,1191,36400.0,0.12249298536722829,True
Other sport/recreation,Other/systemic,2017,90,3600.0,0.27183413213952684,True
Combat sports,Head/neck,2017,557,19200.0,0.09688497129443975,True
Combat sports,Upper limb,2017,951,35100.0,0.08694397182296522,True
Combat sports,Trunk/spine,2017,257,9900.0,0.13696996948592127,True
Combat sports,Lower limb,2017,578,19500.0,0.13689480143752047,True
Combat sports,Other/systemic,2017,26,,0.32885458432146814,False
Other ball sports,Head/neck,2017,690,20200.0,0.1118391598378798,True
Other ball sports,Upper limb,2017,793,26300.0,0.10694001439044268,True
Other ball sports,Trunk/spine,2017,162,6000.0,0.15969546754829617,True
Other ball sports,Lower limb,2017,560,18500.0,0.11866936590424886,True
Other ball sports,Other/systemic,2017,58,1200.0,0.3132130128287034,True
Gymnastics/cheerleading,Head/neck,2017,533,17300.0,0.13165199853457174,True
Gymnastics/cheerleading,Upper limb,2017,843,25000.0,0.14536864515181608,True
Gymnastics/cheerleading,Trunk/spine,2017,231,7800.0,0.14170002345633623,True
Gymnastics/cheerleading,Lower limb,2017,733,23600.0,0.1289592825865958,True
Gymnastics/cheerleading,Other/systemic,2017,22,,0.35063452835499787,False
Volleyball,Head/neck,2017,286,8400.0,0.11964945131502852,True
Volleyball,Upper limb,2017,479,16100.0,0.1131787360707636,True
Volleyball,Trunk/spine,2017,120,3900.0,0.16901935648281652,True
Volleyball,Lower limb,2017,610,22000.0,0.10599480020331652,True
Volleyball,Other/systemic,2017,22,,0.34530694974095244,False
Snow sports,Head/neck,2017,255,,0.34670383051325665,False
Snow sports,Upper limb,2017,404,,0.37207790114571343,False
Snow sports,Trunk/spine,2017,164,7000.0,0.315363329951714,True
Snow sports,Lower limb,2017,272,12100.0,0.32639708370687787,True
