Age_Display,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
0,459,1300.0,359.7886080591938,0.27947859051578544,1300.0,True,passes conservative screen,0.1,0.014086301228988851,0.24597232717224618,8
1,1899,6200.0,1611.908352474501,0.2591282413417975,6200.0,True,passes conservative screen,0.3,0.05203997033247455,0.18806136533795614,8
2,3148,11000.0,2823.4689263187374,0.25565813526053643,11000.0,True,passes conservative screen,0.5,0.08908188449481023,0.18132352062470683,8
3,3666,13300.0,3623.4418098998713,0.27243341747601346,13300.0,True,passes conservative screen,0.6,0.11482202961387866,0.19406733811148816,8
4,4095,14300.0,3405.221913672884,0.23819545132876466,14300.0,True,passes conservative screen,0.6,0.10049388068397185,0.15802136325582403,8
5,5647,19900.0,4600.265900305062,0.2312531565013033,19900.0,True,passes conservative screen,0.9,0.13370757866841876,0.15109458531209785,8
6,7612,25500.0,5467.642644673464,0.21407000463754225,25500.0,True,passes conservative screen,1.1,0.1504037819795266,0.13237397061773332,8
7,9941,34200.0,6940.104040119937,0.20292082785170046,34200.0,True,passes conservative screen,1.5,0.18475982475890193,0.12143848165985023,8
8,13147,45700.0,8322.144963397597,0.18193357884968409,45700.0,True,passes conservative screen,2.0,0.20215591411091288,0.09934641046741609,8
9,16975,59200.0,9948.523635963154,0.167933677559457,59200.0,True,passes conservative screen,2.6,0.228405362253602,0.08667095875464934,8
10,21478,75700.0,12252.231758526654,0.16176156640934092,75700.0,True,passes conservative screen,3.4,0.2682906482640868,0.079625801707475,8
11,26244,92400.0,13049.87907048384,0.14129632149861,92400.0,True,passes conservative screen,4.1,0.257167940823358,0.06259351470513155,8
12,31258,110800.0,14531.62618654452,0.13116018578796562,110800.0,True,passes conservative screen,4.9,0.27121018873151376,0.05502777454111181,8
13,36217,131000.0,16642.055223916374,0.12704913437973023,131000.0,True,passes conservative screen,5.8,0.3219579170354739,0.055252508901273735,8
14,38231,143000.0,17545.293115905228,0.12270092728411836,143000.0,True,passes conservative screen,6.4,0.3207173769975719,0.05041942061393208,8
15,36445,142600.0,17760.563479941597,0.12457963606928248,142600.0,True,passes conservative screen,6.3,0.3044185396642497,0.048000919685363026,8
16,32536,130500.0,15377.410237234155,0.11779415510174793,130500.0,True,passes conservative screen,5.8,0.24535176676172393,0.04224914000242663,8
17,27500,116400.0,12781.90011477017,0.10985199065945914,116400.0,True,passes conservative screen,5.2,0.21344597946287516,0.04123714911947962,8
18,15016,71700.0,6767.799948376652,0.0943292816697844,71700.0,True,passes conservative screen,3.2,0.16102694915171087,0.05045285209152892,8
19,10197,51100.0,5449.482574530529,0.10673373782788727,51100.0,True,passes conservative screen,2.3,0.20245376298996764,0.08913749939618754,8
20,9126,46200.0,5312.5917398406855,0.11495298123761559,46200.0,True,passes conservative screen,2.1,0.19692363598267604,0.0957855031332385,8
21,8113,42000.0,4771.076403280835,0.11346974679918269,42000.0,True,passes conservative screen,1.9,0.1837355762015742,0.09823021909247562,8
22,7022,35700.0,3631.764690638872,0.10181694981501382,35700.0,True,passes conservative screen,1.6,0.14402464197387344,0.09076686330265545,8
23,6323,31700.0,3057.882633269376,0.09646077402430625,31700.0,True,passes conservative screen,1.4,0.1275051240051623,0.09041608757929799,8
24,6077,30300.0,2839.8111964011377,0.09363179702456341,30300.0,True,passes conservative screen,1.3,0.11821050276498284,0.08761492601752292,8
25,5799,29400.0,2909.742667793078,0.09907106117100727,29400.0,True,passes conservative screen,1.3,0.11146088078611213,0.08531057036935863,8
26,5382,27100.0,2598.0393354010635,0.0958151455321698,27100.0,True,passes conservative screen,1.2,0.10329124136991652,0.08563278741402763,8
27,5352,26800.0,2584.5328629235614,0.09658915386773757,26800.0,True,passes conservative screen,1.2,0.10079247025066353,0.08467642902786282,8
28,5172,26300.0,2629.801957907079,0.100026168289643,26300.0,True,passes conservative screen,1.2,0.1050793496774226,0.08984545391054825,8
29,4826,24200.0,2486.799074646003,0.1025851146395349,24200.0,True,passes conservative screen,1.1,0.09286674059983177,0.0861176156113691,8
30,4623,23700.0,2483.4270211264516,0.10465615895790552,23700.0,True,passes conservative screen,1.1,0.09125505784009715,0.08644870193701211,8
31,4396,22800.0,2296.6527526194873,0.10086568248105932,22800.0,True,passes conservative screen,1.0,0.09193861699315685,0.0907683005913205,8
32,4347,22600.0,2347.8347993756483,0.10381851285405541,22600.0,True,passes conservative screen,1.0,0.0916535491204557,0.0911055213391319,8
33,3962,20600.0,2074.780427853097,0.10053905949430181,20600.0,True,passes conservative screen,0.9,0.08181195047902275,0.08911843784795104,8
34,3775,19900.0,2012.2371492031325,0.10097046701058579,19900.0,True,passes conservative screen,0.9,0.07582814117552548,0.08553300988852568,8
35,3651,19500.0,2034.42146397957,0.1042169920612367,19500.0,True,passes conservative screen,0.9,0.07883257384838793,0.09078026664376887,8
36,3505,18800.0,1949.2540091828946,0.10357951112785271,18800.0,True,passes conservative screen,0.8,0.07265001777213975,0.08678192676252452,8
37,3249,17600.0,1908.075167142285,0.1087125423147971,17600.0,True,passes conservative screen,0.8,0.06922590978862285,0.08866270712757701,8
38,3152,17100.0,1740.2987997103794,0.10157072842932742,17100.0,True,passes conservative screen,0.8,0.06517798819537023,0.08551333424058297,8
39,3014,16600.0,1849.8767082418944,0.11136783835642386,16600.0,True,passes conservative screen,0.7,0.06502915951628024,0.0880062041146284,8
40,2805,15500.0,1671.1860233554341,0.10763009117271789,15500.0,True,passes conservative screen,0.7,0.06312686951900638,0.09139265816045707,8
41,2696,14600.0,1632.6180445063972,0.11184419308154013,14600.0,True,passes conservative screen,0.6,0.057525601256343935,0.08858866509929732,8
42,2566,14200.0,1612.312029510663,0.11347222428032416,14200.0,True,passes conservative screen,0.6,0.060104955366619764,0.09509088630207656,8
43,2422,13500.0,1539.6769989248442,0.11379542228403076,13500.0,True,passes conservative screen,0.6,0.051307254948105674,0.0852436607492285,8
44,2369,13000.0,1506.0968294764987,0.11574172887196817,13000.0,True,passes conservative screen,0.6,0.05101795341559011,0.08813496705622526,8
45,2300,13000.0,1466.8726805610104,0.11281332931045027,13000.0,True,passes conservative screen,0.6,0.05072463200480947,0.08769504263394434,8
46,2233,12100.0,1495.7977257423495,0.123302439892252,12100.0,True,passes conservative screen,0.5,0.048432942899488816,0.08974862487992624,8
47,2229,12400.0,1469.033696671254,0.11886964380401532,12400.0,True,passes conservative screen,0.5,0.052029836069683255,0.09464110531173152,8
48,2156,11600.0,1390.047867127139,0.11944423340212276,11600.0,True,passes conservative screen,0.5,0.04998130923932618,0.09654531469269963,8
49,2030,11300.0,1378.093239446697,0.12160266104447394,11300.0,True,passes conservative screen,0.5,0.046896399267114065,0.09302338048267934,8
50,2034,11600.0,1434.3475888190499,0.12347944410465886,11600.0,True,passes conservative screen,0.5,0.050477374514879804,0.09768438764770458,8
51,2028,11100.0,1422.384622841386,0.12758371227421558,11100.0,True,passes conservative screen,0.5,0.04535428527337713,0.09145019924155426,8
52,2132,12100.0,1525.0011758849957,0.1262117244123393,12100.0,True,passes conservative screen,0.5,0.04682742229609545,0.0871200099632495,8
53,2035,11500.0,1453.9909575513275,0.12629828468349633,11500.0,True,passes conservative screen,0.5,0.04985390320260643,0.0973471083053397,8
54,1773,10200.0,1439.0591125833878,0.14114995538010566,10200.0,True,passes conservative screen,0.5,0.04495024735030613,0.09911110993308933,8
55,1797,10000.0,1472.0770344936773,0.1471977129565922,10000.0,True,passes conservative screen,0.4,0.052171715047762635,0.11727185128051207,8
56,1831,10400.0,1466.5350256733548,0.1410586925272442,10400.0,True,passes conservative screen,0.5,0.047092635454750766,0.1018236245968243,8
57,1844,10800.0,1532.1128283290896,0.14166710886179773,10800.0,True,passes conservative screen,0.5,0.0480218106271177,0.09981710167805355,8
58,1721,10000.0,1470.8024006117744,0.147667922212944,10000.0,True,passes conservative screen,0.4,0.04405208737870492,0.09942290962211613,8
59,1669,9800.0,1463.3614737305372,0.15003027975110994,9800.0,True,passes conservative screen,0.4,0.0460689589607307,0.10617538465445522,8
60,1639,9400.0,1551.8770994757194,0.16499462784472438,9400.0,True,passes conservative screen,0.4,0.05028902243496331,0.12019151671871647,8
61,1587,9400.0,1677.7330723142802,0.17895396056808813,9400.0,True,passes conservative screen,0.4,0.05305771736444768,0.12721993034168677,8
62,1498,8800.0,1546.189104587867,0.17476285529127186,8800.0,True,passes conservative screen,0.4,0.05289798446635384,0.13440449404880697,8
63,1526,9400.0,1850.8697156492572,0.1978784711285687,9400.0,True,passes conservative screen,0.4,0.06423844622728901,0.15438527198063706,8
64,1531,9300.0,1750.8290015875227,0.1873013674307167,9300.0,True,passes conservative screen,0.4,0.056747396881474337,0.13646814967344753,8
65,1562,9800.0,1859.0075863143377,0.1906568640275306,9800.0,True,passes conservative screen,0.4,0.061479295686103615,0.1417386556982764,8
66,1503,9300.0,2014.6711940390846,0.2154871491503921,9300.0,True,passes conservative screen,0.4,0.06798439462592899,0.16346115977588088,8
67,1482,9200.0,2077.6238248040318,0.22498021965009884,9200.0,True,passes conservative screen,0.4,0.07122556865977887,0.17338099362461215,8
68,1519,9700.0,2218.2476881647294,0.22925823703435652,9700.0,True,passes conservative screen,0.4,0.07153014169684459,0.16618512144862174,8
69,1402,9100.0,2263.2209279576477,0.2490648074604463,9100.0,True,passes conservative screen,0.4,0.07781681081958806,0.1925072042672524,8
70,1336,8700.0,2271.7017378117826,0.2597588636211646,8700.0,True,passes conservative screen,0.4,0.07970799695581585,0.2048844996968047,8
71,1274,8300.0,2230.6247372527514,0.26994103764006855,8300.0,True,passes conservative screen,0.4,0.07981605101931277,0.21713047290176707,8
72,1139,7500.0,1997.4601350240468,0.2652262306672983,7500.0,True,passes conservative screen,0.3,0.06764484306311803,0.20191156217565912,8
73,1171,8000.0,2401.9793691967334,0.30105634307942736,8000.0,True,passes conservative screen,0.4,0.08662309663715154,0.2440621072555558,8
74,1067,7100.0,1917.700879788465,0.2708139321973868,7100.0,True,passes conservative screen,0.3,0.06655973115638769,0.21129530027145071,8
75,1031,7100.0,2087.1532405713615,0.29260334041790953,7100.0,True,passes conservative screen,0.3,0.07335688966716061,0.23118198844702015,8
76,921,6300.0,1811.2148689113646,0.2878821769388798,6300.0,True,passes conservative screen,0.3,0.06420252162209733,0.22939557263874014,8
77,811,5500.0,1703.4720008467057,0.3086584334724483,5500.0,True,passes conservative screen,0.2,0.059337050504067665,0.24168920071061617,8
78,776,5000.0,1508.1995408387086,0.30083736958156293,5000.0,True,passes conservative screen,0.2,0.05451186685675583,0.2444286879470858,8
79,728,5000.0,1457.923268278767,0.2942947581677159,5000.0,True,passes conservative screen,0.2,0.0525306136765539,0.23836828750613268,8
80,638,4100.0,1134.558564201039,0.27546898225369065,4100.0,True,passes conservative screen,0.2,0.04053487921728619,0.22123957317668375,8
81,625,4200.0,1277.8099273981422,0.30484622373481735,4200.0,True,passes conservative screen,0.2,0.04419460467065254,0.23701288556641795,8
82,516,3400.0,979.010674399439,0.28821473029169226,3400.0,True,passes conservative screen,0.2,0.0350849596630474,0.23218698406378793,8
83,464,3200.0,971.391179578767,0.3080588040659571,3200.0,True,passes conservative screen,0.1,0.03551170941510613,0.25316239192077217,8
84,431,2700.0,759.6445369703642,0.2779368438433146,2700.0,True,passes conservative screen,0.1,0.026651229321332796,0.21920027334732392,8
85,423,2700.0,716.6306090022579,0.26543172442354496,2700.0,True,passes conservative screen,0.1,0.02671345110741848,0.22242091102895856,8
86,309,2100.0,609.0540740956857,0.28698342799974075,2100.0,True,passes conservative screen,0.1,0.021753072446298385,0.23041445188791032,8
87,286,1800.0,594.1303795244518,0.32447302904630687,1800.0,True,passes conservative screen,0.1,0.022746609762649132,0.27925545347783925,8
88,266,1700.0,530.8992467312563,0.31161291717860645,1700.0,True,passes conservative screen,0.1,0.01987346291263635,0.26221952972764934,8
89,239,1500.0,482.44268777761664,0.32714173732482926,1500.0,True,passes conservative screen,0.1,0.017794110132024706,0.27124056740053326,8
90,792,4800.0,1207.3198949088194,0.25086664783839974,4800.0,True,passes conservative screen,0.2,0.04048955507883566,0.1891262086840726,8
