Diagnosis_Plot,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
All other diagnoses,0-4,6039,21800.0,6524.547917838054,0.2990497780432789,21800.0,True,passes conservative screen,47.3,3.0909156581690125,0.0653781974885125,8
All other diagnoses,5-9,18256,65400.0,13826.047032932865,0.211339560575496,65400.0,True,passes conservative screen,35.4,1.753924964999873,0.049495939737015014,8
All other diagnoses,10-14,47891,170100.0,24498.79965239157,0.14398777936290216,170100.0,True,passes conservative screen,30.8,1.449860899100227,0.04711229767891944,8
All other diagnoses,15-17,33096,128000.0,15803.20247373073,0.12349631985872027,128000.0,True,passes conservative screen,32.9,1.4771742088131217,0.04495814090323816,8
All other diagnoses,18-24,23834,115800.0,12237.705120332908,0.10571782256556783,115800.0,True,passes conservative screen,37.5,1.5151205532924288,0.04041331463735913,8
All other diagnoses,25-34,19450,99300.0,9933.318634050465,0.09999900549382622,99300.0,True,passes conservative screen,40.8,1.550011780128619,0.03798874810823126,8
All other diagnoses,35-44,12885,70000.0,7094.2868116748305,0.1013653943020001,70000.0,True,passes conservative screen,43.6,1.7295387393057249,0.03966600876089993,8
All other diagnoses,45-54,10085,56800.0,6667.564638821711,0.11734468057781001,56800.0,True,passes conservative screen,48.6,2.052237429508113,0.04226447430657896,8
All other diagnoses,55-64,8332,48400.0,7385.517883788198,0.152591021200681,48400.0,True,passes conservative screen,49.8,2.149738729884588,0.043196472167430194,8
All other diagnoses,65-74,6863,44300.0,11320.4718649258,0.2556710053355321,44300.0,True,passes conservative screen,51.1,2.6776209316935957,0.052428802163442555,8
All other diagnoses,75+,4485,30000.0,8794.638367662366,0.29340922691434396,30000.0,True,passes conservative screen,49.0,2.7770929335724093,0.05665424330969595,8
