Activity,Profile_Age,n,denominator_n,percent,reportable,reason
Swimming/diving,40-44,1138,46621,2.4,True,sample descriptive percentage; n >=20
Swimming/diving,45-49,973,46621,2.1,True,sample descriptive percentage; n >=20
Swimming/diving,50-54,940,46621,2.0,True,sample descriptive percentage; n >=20
Swimming/diving,55-59,894,46621,1.9,True,sample descriptive percentage; n >=20
Swimming/diving,60-64,819,46621,1.8,True,sample descriptive percentage; n >=20
Swimming/diving,65-69,749,46621,1.6,True,sample descriptive percentage; n >=20
Swimming/diving,70-74,589,46621,1.3,True,sample descriptive percentage; n >=20
Swimming/diving,75-79,434,46621,0.9,True,sample descriptive percentage; n >=20
Swimming/diving,80+,526,46621,1.1,True,sample descriptive percentage; n >=20
Baseball/softball,0-4,893,40874,2.2,True,sample descriptive percentage; n >=20
Baseball/softball,5-9,5329,40874,13.0,True,sample descriptive percentage; n >=20
Baseball/softball,10-14,14475,40874,35.4,True,sample descriptive percentage; n >=20
Baseball/softball,15-19,10281,40874,25.2,True,sample descriptive percentage; n >=20
Baseball/softball,20-24,1881,40874,4.6,True,sample descriptive percentage; n >=20
Baseball/softball,25-29,1502,40874,3.7,True,sample descriptive percentage; n >=20
Baseball/softball,30-34,1514,40874,3.7,True,sample descriptive percentage; n >=20
Baseball/softball,35-39,1304,40874,3.2,True,sample descriptive percentage; n >=20
Baseball/softball,40-44,991,40874,2.4,True,sample descriptive percentage; n >=20
Baseball/softball,45-49,773,40874,1.9,True,sample descriptive percentage; n >=20
Baseball/softball,50-54,577,40874,1.4,True,sample descriptive percentage; n >=20
Baseball/softball,55-59,392,40874,1.0,True,sample descriptive percentage; n >=20
Baseball/softball,60-64,305,40874,0.7,True,sample descriptive percentage; n >=20
Baseball/softball,65-69,273,40874,0.7,True,sample descriptive percentage; n >=20
Baseball/softball,70-74,198,40874,0.5,True,sample descriptive percentage; n >=20
Baseball/softball,75-79,116,40874,0.3,True,sample descriptive percentage; n >=20
Baseball/softball,80+,70,40874,0.2,True,sample descriptive percentage; n >=20
Weight training,0-4,998,25585,3.9,True,sample descriptive percentage; n >=20
Weight training,5-9,714,25585,2.8,True,sample descriptive percentage; n >=20
Weight training,10-14,1729,25585,6.8,True,sample descriptive percentage; n >=20
Weight training,15-19,5090,25585,19.9,True,sample descriptive percentage; n >=20
Weight training,20-24,3344,25585,13.1,True,sample descriptive percentage; n >=20
Weight training,25-29,2818,25585,11.0,True,sample descriptive percentage; n >=20
Weight training,30-34,2479,25585,9.7,True,sample descriptive percentage; n >=20
Weight training,35-39,2045,25585,8.0,True,sample descriptive percentage; n >=20
Weight training,40-44,1489,25585,5.8,True,sample descriptive percentage; n >=20
Weight training,45-49,1235,25585,4.8,True,sample descriptive percentage; n >=20
Weight training,50-54,1079,25585,4.2,True,sample descriptive percentage; n >=20
Weight training,55-59,806,25585,3.2,True,sample descriptive percentage; n >=20
Weight training,60-64,586,25585,2.3,True,sample descriptive percentage; n >=20
Weight training,65-69,445,25585,1.7,True,sample descriptive percentage; n >=20
Weight training,70-74,303,25585,1.2,True,sample descriptive percentage; n >=20
Weight training,75-79,221,25585,0.9,True,sample descriptive percentage; n >=20
Weight training,80+,204,25585,0.8,True,sample descriptive percentage; n >=20
Other sport/recreation,0-4,450,24858,1.8,True,sample descriptive percentage; n >=20
Other sport/recreation,5-9,4482,24858,18.0,True,sample descriptive percentage; n >=20
Other sport/recreation,10-14,10069,24858,40.5,True,sample descriptive percentage; n >=20
Other sport/recreation,15-19,5379,24858,21.6,True,sample descriptive percentage; n >=20
Other sport/recreation,20-24,1636,24858,6.6,True,sample descriptive percentage; n >=20
Other sport/recreation,25-29,873,24858,3.5,True,sample descriptive percentage; n >=20
Other sport/recreation,30-34,609,24858,2.4,True,sample descriptive percentage; n >=20
Other sport/recreation,35-39,352,24858,1.4,True,sample descriptive percentage; n >=20
Other sport/recreation,40-44,263,24858,1.1,True,sample descriptive percentage; n >=20
Other sport/recreation,45-49,155,24858,0.6,True,sample descriptive percentage; n >=20
Other sport/recreation,50-54,162,24858,0.7,True,sample descriptive percentage; n >=20
Other sport/recreation,55-59,137,24858,0.6,True,sample descriptive percentage; n >=20
Other sport/recreation,60-64,91,24858,0.4,True,sample descriptive percentage; n >=20
Other sport/recreation,65-69,83,24858,0.3,True,sample descriptive percentage; n >=20
Other sport/recreation,70-74,49,24858,0.2,True,sample descriptive percentage; n >=20
Other sport/recreation,75-79,44,24858,0.2,True,sample descriptive percentage; n >=20
Other sport/recreation,80+,24,24858,0.1,True,sample descriptive percentage; n >=20
Combat sports,0-4,102,23486,0.4,True,sample descriptive percentage; n >=20
Combat sports,5-9,1778,23486,7.6,True,sample descriptive percentage; n >=20
Combat sports,10-14,6179,23486,26.3,True,sample descriptive percentage; n >=20
Combat sports,15-19,7797,23486,33.2,True,sample descriptive percentage; n >=20
Combat sports,20-24,2190,23486,9.3,True,sample descriptive percentage; n >=20
Combat sports,25-29,1750,23486,7.5,True,sample descriptive percentage; n >=20
Combat sports,30-34,1212,23486,5.2,True,sample descriptive percentage; n >=20
Combat sports,35-39,851,23486,3.6,True,sample descriptive percentage; n >=20
Combat sports,40-44,585,23486,2.5,True,sample descriptive percentage; n >=20
Combat sports,45-49,397,23486,1.7,True,sample descriptive percentage; n >=20
Combat sports,50-54,258,23486,1.1,True,sample descriptive percentage; n >=20
Combat sports,55-59,148,23486,0.6,True,sample descriptive percentage; n >=20
Combat sports,60-64,112,23486,0.5,True,sample descriptive percentage; n >=20
Combat sports,65-69,65,23486,0.3,True,sample descriptive percentage; n >=20
Combat sports,70-74,23,23486,0.1,True,sample descriptive percentage; n >=20
Combat sports,75-79,22,23486,0.1,True,sample descriptive percentage; n >=20
Combat sports,80+,17,23486,,False,sample n <20 or no denominator
Other ball sports,0-4,2136,20523,10.4,True,sample descriptive percentage; n >=20
Other ball sports,5-9,4188,20523,20.4,True,sample descriptive percentage; n >=20
Other ball sports,10-14,6382,20523,31.1,True,sample descriptive percentage; n >=20
Other ball sports,15-19,1858,20523,9.1,True,sample descriptive percentage; n >=20
Other ball sports,20-24,557,20523,2.7,True,sample descriptive percentage; n >=20
Other ball sports,25-29,592,20523,2.9,True,sample descriptive percentage; n >=20
Other ball sports,30-34,563,20523,2.7,True,sample descriptive percentage; n >=20
Other ball sports,35-39,417,20523,2.0,True,sample descriptive percentage; n >=20
Other ball sports,40-44,361,20523,1.8,True,sample descriptive percentage; n >=20
Other ball sports,45-49,288,20523,1.4,True,sample descriptive percentage; n >=20
Other ball sports,50-54,321,20523,1.6,True,sample descriptive percentage; n >=20
Other ball sports,55-59,386,20523,1.9,True,sample descriptive percentage; n >=20
Other ball sports,60-64,532,20523,2.6,True,sample descriptive percentage; n >=20
Other ball sports,65-69,716,20523,3.5,True,sample descriptive percentage; n >=20
Other ball sports,70-74,564,20523,2.7,True,sample descriptive percentage; n >=20
Other ball sports,75-79,371,20523,1.8,True,sample descriptive percentage; n >=20
Other ball sports,80+,291,20523,1.4,True,sample descriptive percentage; n >=20
Gymnastics/cheerleading,0-4,700,19322,3.6,True,sample descriptive percentage; n >=20
Gymnastics/cheerleading,5-9,4939,19322,25.6,True,sample descriptive percentage; n >=20
Gymnastics/cheerleading,10-14,8068,19322,41.8,True,sample descriptive percentage; n >=20
Gymnastics/cheerleading,15-19,4855,19322,25.1,True,sample descriptive percentage; n >=20
Gymnastics/cheerleading,20-24,358,19322,1.9,True,sample descriptive percentage; n >=20
Gymnastics/cheerleading,25-29,127,19322,0.7,True,sample descriptive percentage; n >=20
Gymnastics/cheerleading,30-34,97,19322,0.5,True,sample descriptive percentage; n >=20
Gymnastics/cheerleading,35-39,62,19322,0.3,True,sample descriptive percentage; n >=20
Gymnastics/cheerleading,40-44,40,19322,0.2,True,sample descriptive percentage; n >=20
Gymnastics/cheerleading,45-49,23,19322,0.1,True,sample descriptive percentage; n >=20
Gymnastics/cheerleading,50-54,18,19322,,False,sample n <20 or no denominator
Gymnastics/cheerleading,55-59,11,19322,,False,sample n <20 or no denominator
Gymnastics/cheerleading,60-64,10,19322,,False,sample n <20 or no denominator
Gymnastics/cheerleading,65-69,4,19322,,False,sample n <20 or no denominator
Gymnastics/cheerleading,70-74,4,19322,,False,sample n <20 or no denominator
Gymnastics/cheerleading,75-79,4,19322,,False,sample n <20 or no denominator
Gymnastics/cheerleading,80+,2,19322,,False,sample n <20 or no denominator
Volleyball,0-4,23,14726,0.2,True,sample descriptive percentage; n >=20
Volleyball,5-9,266,14726,1.8,True,sample descriptive percentage; n >=20
Volleyball,10-14,5624,14726,38.2,True,sample descriptive percentage; n >=20
Volleyball,15-19,5752,14726,39.1,True,sample descriptive percentage; n >=20
Volleyball,20-24,847,14726,5.8,True,sample descriptive percentage; n >=20
Volleyball,25-29,538,14726,3.7,True,sample descriptive percentage; n >=20
Volleyball,30-34,422,14726,2.9,True,sample descriptive percentage; n >=20
Volleyball,35-39,332,14726,2.3,True,sample descriptive percentage; n >=20
Volleyball,40-44,265,14726,1.8,True,sample descriptive percentage; n >=20
Volleyball,45-49,196,14726,1.3,True,sample descriptive percentage; n >=20
Volleyball,50-54,138,14726,0.9,True,sample descriptive percentage; n >=20
Volleyball,55-59,102,14726,0.7,True,sample descriptive percentage; n >=20
Volleyball,60-64,74,14726,0.5,True,sample descriptive percentage; n >=20
