Body_Region,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Wrist/hand,35-44,3995,20500.0,1986.213190786754,0.09674195898260174,20500.0,True,passes conservative screen,11.8,0.6933575930410962,0.05873521951626149,9
Wrist/hand,45-54,2681,14300.0,1649.4835843815254,0.11500475622614122,14300.0,True,passes conservative screen,11.6,0.8298691061240555,0.07178713680046152,9
Wrist/hand,55-64,2307,13100.0,1747.2165212186871,0.13336610967888227,13100.0,True,passes conservative screen,12.5,1.023136055178574,0.08215928623423759,9
Wrist/hand,65-74,1722,10500.0,1765.978225501541,0.16771428744875827,10500.0,True,passes conservative screen,10.9,1.4263399191434716,0.13074142799889002,9
Wrist/hand,75+,815,5000.0,986.2532742550981,0.1980724402392943,5000.0,True,passes conservative screen,7.2,1.0241814846438035,0.14289246840477943,9
Trunk/spine,0-4,459,1300.0,388.2541132202971,0.28907417411948455,1300.0,True,passes conservative screen,2.8,0.6796935306813758,0.2415759319926794,9
Trunk/spine,5-9,3707,11400.0,1986.0955399370516,0.17497910561234922,11400.0,True,passes conservative screen,5.7,0.4400640412577322,0.07772570051984315,9
Trunk/spine,10-14,14282,46400.0,6393.1292842879275,0.1377703708692114,46400.0,True,passes conservative screen,7.7,0.36442520771187387,0.047490980722994465,9
Trunk/spine,15-17,11156,40600.0,5002.309995790987,0.1232149365902763,40600.0,True,passes conservative screen,9.6,0.4278164100253814,0.04451395356446198,9
Trunk/spine,18-24,9134,42500.0,5008.9558006679035,0.11787243350157076,42500.0,True,passes conservative screen,12.7,0.6564898594465183,0.051751686039555655,9
Trunk/spine,25-34,10410,48900.0,5365.8451481038655,0.10973666295378376,48900.0,True,passes conservative screen,18.9,0.8049540788119046,0.04256853349867889,9
Trunk/spine,35-44,7724,37400.0,4121.614297749906,0.1101199834456084,37400.0,True,passes conservative screen,21.5,1.0356818797478775,0.04812574572517466,9
Trunk/spine,45-54,6202,31100.0,3899.1900096939166,0.12525689274549562,31100.0,True,passes conservative screen,25.1,1.3212963066767722,0.052661919724769204,9
Trunk/spine,55-64,5716,29600.0,4944.110515833087,0.166920380182595,29600.0,True,passes conservative screen,28.2,1.6343701888728353,0.05804918681487145,9
Trunk/spine,65-74,5134,28800.0,7379.960102804213,0.2564781790766613,28800.0,True,passes conservative screen,29.8,2.1570358291128167,0.07235344876058422,9
Trunk/spine,75+,3937,22500.0,6126.772843928488,0.2722223747450786,22500.0,True,passes conservative screen,32.4,1.8046006856544543,0.055701896467185257,9
Hip/thigh,0-4,382,,393.05572903940464,0.37906755096020006,,False,"estimate < 1200; CV bound outside [0, 0.33]",,0.5069071184830549,0.23336631470921956,9
Hip/thigh,5-9,1446,4000.0,802.6047309668339,0.201923199055957,4000.0,True,passes conservative screen,2.0,0.23539614435440412,0.11872619617444523,9
Hip/thigh,10-14,3074,8900.0,1366.1719043691648,0.1543123437826942,8900.0,True,passes conservative screen,1.5,0.13472243787426172,0.09202284133213594,9
Hip/thigh,15-17,2122,7000.0,974.8903788617595,0.13941575863893632,7000.0,True,passes conservative screen,1.7,0.16164511498151643,0.09764828937076722,9
Hip/thigh,18-24,1436,6600.0,933.2753668618586,0.14137632410738962,6600.0,True,passes conservative screen,2.0,0.2015101896346019,0.10225753633767715,9
Hip/thigh,25-34,1133,5200.0,769.2050475828739,0.14762568159936226,5200.0,True,passes conservative screen,2.0,0.23601427198828803,0.11712835008976422,9
Hip/thigh,35-44,737,3700.0,625.3725636460787,0.17061764742392843,3700.0,True,passes conservative screen,2.1,0.29031305612850444,0.1377539299813476,9
Hip/thigh,45-54,510,2700.0,461.6054053495241,0.17030034925943444,2700.0,True,passes conservative screen,2.2,0.3004418226769774,0.13752266247385828,9
Hip/thigh,55-64,414,2200.0,467.28657964312583,0.21182461326873664,2200.0,True,passes conservative screen,2.1,0.3599401540864697,0.1716516273008868,9
Hip/thigh,65-74,325,1800.0,406.27501257853856,0.2314136612952835,1800.0,True,passes conservative screen,1.8,0.3491537441229187,0.19195129870690122,9
Hip/thigh,75+,253,1600.0,415.37590168737887,0.26200404233935554,1600.0,True,passes conservative screen,2.3,0.4971117582156714,0.21782993138966536,9
Knee,0-4,208,,212.1112134947981,0.33917367763605744,,False,"estimate < 1200; CV bound outside [0, 0.33]",,0.36217899980480384,0.27645794545351515,9
Knee,5-9,2646,8000.0,1483.023507639451,0.18472715801863757,8000.0,True,passes conservative screen,4.0,0.3617904555827214,0.0903446677601521,9
Knee,10-14,16172,53100.0,6876.718739472288,0.12951905882197842,53100.0,True,passes conservative screen,8.8,0.33922450897088624,0.03863670020853073,9
Knee,15-17,12926,45900.0,5235.77279211072,0.11417784821564342,45900.0,True,passes conservative screen,10.9,0.38902898256058693,0.03583678099557738,9
Knee,18-24,8427,37300.0,3618.174572293655,0.09701395448592798,37300.0,True,passes conservative screen,11.1,0.4744670886326562,0.04261693523755415,9
Knee,25-34,6397,29100.0,2745.7711273284563,0.09437639898787767,29100.0,True,passes conservative screen,11.3,0.4917237333588353,0.04370430398081809,9
Knee,35-44,3662,17800.0,1918.2800349076917,0.1079865213825694,17800.0,True,passes conservative screen,10.2,0.6194828374953797,0.06065116232117259,9
Knee,45-54,2321,11800.0,1414.5943283898696,0.12015109770816516,11800.0,True,passes conservative screen,9.5,0.7685331627331177,0.08098930527348353,9
Knee,55-64,1811,9400.0,1305.3380578413894,0.1391359573037836,9400.0,True,passes conservative screen,8.9,0.7823569002534839,0.08772953156803431,9
