Body_Region,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
Internal/systemic,18-24,10,,28.967201368733225,0.9112650212418317,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.009351098798860183,0.9334436413916655,10
Internal/systemic,25-34,12,,26.693522700197054,0.7654603210436258,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.011139853913979734,0.7862574378421591,10
Internal/systemic,35-44,6,,31.47416,1.0,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.019681688868153753,1.0296967917527007,10
Internal/systemic,45-54,5,,21.699319999999993,0.9999999999999996,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.019382465592562112,1.0510101664173426,10
Internal/systemic,55-64,5,,28.56452752854374,0.8375024197093758,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.031437075561812924,0.9256348998716539,10
Internal/systemic,65-74,3,,19.747806328032603,0.7561736018245376,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.02597268791411067,0.9097038678261342,10
Internal/systemic,75+,4,,22.53348,1.0,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.039132192440257736,1.1378326865712374,10
Not stated/other,0-4,88,,108.70904125052093,0.49268088133197924,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.26635330861061607,0.5367117690555353,10
Not stated/other,5-9,257,,243.39978072265475,0.34601423192029196,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.14030228657709437,0.36975316185702556,10
Not stated/other,10-14,573,1500.0,443.38728905098304,0.29728819136244095,1500.0,True,passes conservative screen,0.3,0.08191735634271129,0.3084378314167409,10
Not stated/other,15-17,434,1400.0,391.55211624239195,0.28404454926308553,1400.0,True,passes conservative screen,0.3,0.10129592801863864,0.2912389620832897,10
Not stated/other,18-24,358,,530.6813186692086,0.34733881854056636,,False,"CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.16260731149677388,0.3377123062801467,10
Not stated/other,25-34,281,1300.0,375.49192839498494,0.29707223708018515,1300.0,True,passes conservative screen,0.5,0.1466688335834719,0.28560629650076275,10
Not stated/other,35-44,231,,330.37994508099047,0.33542926239662557,,False,"estimate < 1200; CV bound outside [0, 0.33]",,0.19657125568028466,0.3286309242031771,10
Not stated/other,45-54,194,,301.7516171972367,0.36344987591428446,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.25471545995069605,0.36098922875079353,10
Not stated/other,55-64,251,,410.62939422889013,0.36736366074146265,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.39298481531618207,0.3530697303597808,10
Not stated/other,65-74,331,,524.689159291556,0.33226898206142064,,False,"CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.6192531993549553,0.3587041987085876,10
Not stated/other,75+,314,,546.0898250361555,0.36844269093112353,,False,"CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.8959002167852451,0.39603903674845164,10
