Disposition_Label,Age_Band,n,estimate,se_bound,cv_bound,estimate_rounded,reportable,reason,percent,percent_se_bound,percent_cv_bound,years
HELD FOR OBSERVATION,15-17,164,,214.17434014409477,0.4678751061235865,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.05534422261600909,0.47984673030976505,10
HELD FOR OBSERVATION,18-24,235,,298.283001624873,0.36010835596407464,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.09320193258831666,0.35533648520559313,10
HELD FOR OBSERVATION,25-34,258,,332.5141609545783,0.35009322765079043,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.13202176906452237,0.34030381649282687,10
HELD FOR OBSERVATION,35-44,217,,261.13710385064144,0.3191690491257036,,False,estimate < 1200,,0.15812508167111972,0.3192782666043563,10
HELD FOR OBSERVATION,45-54,229,,304.88338524495714,0.3676342194503729,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.2560970547557316,0.3658770364335167,10
HELD FOR OBSERVATION,55-64,280,,385.0798156614783,0.3813751526833187,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.3827893439554432,0.38505439376422773,10
HELD FOR OBSERVATION,65-74,292,,410.0512732270969,0.32993294382332117,,False,passes conservative screen; proportion CV unassessed or > 0.33,,0.5049696636727918,0.3786698118670986,10
HELD FOR OBSERVATION,75+,283,,455.92010820230337,0.38780642061070475,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.7743155579625242,0.4436870343113733,10
"FATALITY INCL. DOA, DIED IN ER",0-4,46,,80.33803821689534,0.6513290486787957,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.17777714103690626,0.6689319631467571,10
"FATALITY INCL. DOA, DIED IN ER",5-9,24,,52.326750983238604,0.7686144776892399,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.02883372486028667,0.7980097142660327,10
"FATALITY INCL. DOA, DIED IN ER",10-14,22,,38.10099158112266,0.7685722172029956,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.006869466291450186,0.7836335982475998,10
"FATALITY INCL. DOA, DIED IN ER",15-17,10,,23.689941808535394,0.9201503242881593,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.006221968318710744,0.9591583947797502,10
"FATALITY INCL. DOA, DIED IN ER",18-24,9,,29.830061014736355,0.9267289459990077,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.009747475983698892,0.956314962377649,10
"FATALITY INCL. DOA, DIED IN ER",25-34,19,,46.69402186846913,0.6626412354188789,,False,"n < 20; estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.01964282837473106,0.6824469630667808,10
"FATALITY INCL. DOA, DIED IN ER",35-44,23,,72.4280454179919,0.6992250529355734,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.04408479179008252,0.7030972783903072,10
"FATALITY INCL. DOA, DIED IN ER",45-54,34,,84.85207354924935,0.5958677462195581,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.07145792321800604,0.5945470196882092,10
"FATALITY INCL. DOA, DIED IN ER",55-64,46,,133.71190578180227,0.5474432634252898,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.12039906931905787,0.5006713860134796,10
"FATALITY INCL. DOA, DIED IN ER",65-74,74,,237.44164651470413,0.6275738742540982,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.21354777033521744,0.5260304443935713,10
"FATALITY INCL. DOA, DIED IN ER",75+,62,,180.10405708936665,0.5012692934980454,,False,"estimate < 1200; CV bound outside [0, 0.33]; proportion CV unassessed or > 0.33",,0.2429538123908625,0.4555162013866272,10
