cohort,sample_n,sample_median_age,sample_percent_under18,sample_percent_male,sample_percent_unknown_sex
Core,659637,16.0,61.386186645079036,68.10473032895365,0.01531145160141108
Extended,978847,15.0,62.37154529768186,65.18087096349072,0.018695465174843464
