Body_Region,Age_Band,n,denominator_n,percent,reportable,reason
Hip/thigh,35-44,785,37793,2.1,True,sample descriptive percentage; n >=20
Hip/thigh,45-54,553,26453,2.1,True,sample descriptive percentage; n >=20
Hip/thigh,55-64,458,21763,2.1,True,sample descriptive percentage; n >=20
Hip/thigh,65-74,356,18375,1.9,True,sample descriptive percentage; n >=20
Hip/thigh,75+,277,13130,2.1,True,sample descriptive percentage; n >=20
Knee,0-4,228,16949,1.3,True,sample descriptive percentage; n >=20
Knee,5-9,2791,68554,4.1,True,sample descriptive percentage; n >=20
Knee,10-14,17091,196193,8.7,True,sample descriptive percentage; n >=20
Knee,15-17,13660,123230,11.1,True,sample descriptive percentage; n >=20
Knee,18-24,8996,77635,11.6,True,sample descriptive percentage; n >=20
Knee,25-34,6856,59562,11.5,True,sample descriptive percentage; n >=20
Knee,35-44,3922,37793,10.4,True,sample descriptive percentage; n >=20
Knee,45-54,2520,26453,9.5,True,sample descriptive percentage; n >=20
Knee,55-64,1948,21763,9.0,True,sample descriptive percentage; n >=20
Knee,65-74,1279,18375,7.0,True,sample descriptive percentage; n >=20
Knee,75+,736,13130,5.6,True,sample descriptive percentage; n >=20
Lower leg,0-4,574,16949,3.4,True,sample descriptive percentage; n >=20
Lower leg,5-9,2085,68554,3.0,True,sample descriptive percentage; n >=20
Lower leg,10-14,7299,196193,3.7,True,sample descriptive percentage; n >=20
Lower leg,15-17,4491,123230,3.6,True,sample descriptive percentage; n >=20
Lower leg,18-24,2642,77635,3.4,True,sample descriptive percentage; n >=20
Lower leg,25-34,3502,59562,5.9,True,sample descriptive percentage; n >=20
Lower leg,35-44,2998,37793,7.9,True,sample descriptive percentage; n >=20
Lower leg,45-54,2015,26453,7.6,True,sample descriptive percentage; n >=20
Lower leg,55-64,1362,21763,6.3,True,sample descriptive percentage; n >=20
Lower leg,65-74,1008,18375,5.5,True,sample descriptive percentage; n >=20
Lower leg,75+,612,13130,4.7,True,sample descriptive percentage; n >=20
Ankle,0-4,219,16949,1.3,True,sample descriptive percentage; n >=20
Ankle,5-9,3911,68554,5.7,True,sample descriptive percentage; n >=20
Ankle,10-14,21825,196193,11.1,True,sample descriptive percentage; n >=20
Ankle,15-17,18655,123230,15.1,True,sample descriptive percentage; n >=20
Ankle,18-24,11493,77635,14.8,True,sample descriptive percentage; n >=20
Ankle,25-34,6670,59562,11.2,True,sample descriptive percentage; n >=20
Ankle,35-44,3235,37793,8.6,True,sample descriptive percentage; n >=20
Ankle,45-54,1582,26453,6.0,True,sample descriptive percentage; n >=20
Ankle,55-64,970,21763,4.5,True,sample descriptive percentage; n >=20
Ankle,65-74,585,18375,3.2,True,sample descriptive percentage; n >=20
Ankle,75+,259,13130,2.0,True,sample descriptive percentage; n >=20
Foot/toes,0-4,1130,16949,6.7,True,sample descriptive percentage; n >=20
Foot/toes,5-9,4013,68554,5.9,True,sample descriptive percentage; n >=20
Foot/toes,10-14,10922,196193,5.6,True,sample descriptive percentage; n >=20
Foot/toes,15-17,5690,123230,4.6,True,sample descriptive percentage; n >=20
Foot/toes,18-24,4424,77635,5.7,True,sample descriptive percentage; n >=20
Foot/toes,25-34,3873,59562,6.5,True,sample descriptive percentage; n >=20
Foot/toes,35-44,2456,37793,6.5,True,sample descriptive percentage; n >=20
Foot/toes,45-54,1600,26453,6.0,True,sample descriptive percentage; n >=20
Foot/toes,55-64,1060,21763,4.9,True,sample descriptive percentage; n >=20
Foot/toes,65-74,627,18375,3.4,True,sample descriptive percentage; n >=20
Foot/toes,75+,283,13130,2.2,True,sample descriptive percentage; n >=20
Multiple/systemic,0-4,2183,16949,12.9,True,sample descriptive percentage; n >=20
Multiple/systemic,5-9,1459,68554,2.1,True,sample descriptive percentage; n >=20
Multiple/systemic,10-14,2147,196193,1.1,True,sample descriptive percentage; n >=20
Multiple/systemic,15-17,1682,123230,1.4,True,sample descriptive percentage; n >=20
Multiple/systemic,18-24,1624,77635,2.1,True,sample descriptive percentage; n >=20
Multiple/systemic,25-34,1484,59562,2.5,True,sample descriptive percentage; n >=20
Multiple/systemic,35-44,1001,37793,2.6,True,sample descriptive percentage; n >=20
Multiple/systemic,45-54,943,26453,3.6,True,sample descriptive percentage; n >=20
