Activity,Cluster_Age,Source_Year,n,estimate,cv_approx,annual_pass
Fishing,0-17,2017,332,17300.0,0.16616403052605885,True
Fishing,18-44,2017,382,22400.0,0.14718454334251124,True
Fishing,45+,2017,537,30700.0,0.1568590743460952,True
Basketball,0-17,2018,9055,262400.0,0.11256764347004564,True
Basketball,18-44,2018,4133,157700.0,0.08814593301282449,True
Basketball,45+,2018,315,13100.0,0.09028701654169352,True
Exercise/fitness,0-17,2018,1986,66500.0,0.1276038165412617,True
Exercise/fitness,18-44,2018,3827,164100.0,0.10247149118358234,True
Exercise/fitness,45+,2018,3389,163300.0,0.15072492724143965,True
Football,0-17,2018,7766,240000.0,0.12323966912436643,True
Football,18-44,2018,1301,52200.0,0.08717707475043439,True
Football,45+,2018,87,3500.0,0.17023819567275364,True
Soccer,0-17,2018,5167,138000.0,0.1675093046085143,True
Soccer,18-44,2018,1453,55000.0,0.13428766618508925,True
Soccer,45+,2018,134,5400.0,0.2301192922381041,True
Swimming/diving,0-17,2018,3559,117000.0,0.23058251038571775,True
Swimming/diving,18-44,2018,941,46900.0,0.13202398574450344,True
Swimming/diving,45+,2018,555,29500.0,0.21956849842938925,True
Baseball/softball,0-17,2018,3277,106900.0,0.12936642391366268,True
Baseball/softball,18-44,2018,1013,46300.0,0.0878197511993162,True
Baseball/softball,45+,2018,294,14800.0,0.2039272395999364,True
Weight training,0-17,2018,686,23500.0,0.11979686216502476,True
Weight training,18-44,2018,1338,57000.0,0.10436240365482156,True
Weight training,45+,2018,469,20100.0,0.12337352601246761,True
Other sport/recreation,0-17,2018,2551,70800.0,0.22225423100931077,True
Other sport/recreation,18-44,2018,542,21000.0,0.10318771246607658,True
Other sport/recreation,45+,2018,93,4300.0,0.14956337141978823,True
Combat sports,0-17,2018,1382,42800.0,0.1300150981053384,True
Combat sports,18-44,2018,712,31400.0,0.10514153563309436,True
Combat sports,45+,2018,89,4100.0,0.14990128649910775,True
Other ball sports,0-17,2018,1584,46500.0,0.13173356691878185,True
Other ball sports,18-44,2018,268,12900.0,0.09726053072055134,True
Other ball sports,45+,2018,233,,0.3326252747980761,False
Gymnastics/cheerleading,0-17,2018,2017,59800.0,0.14660506290546382,True
Gymnastics/cheerleading,18-44,2018,120,4400.0,0.16559384399126706,True
Gymnastics/cheerleading,45+,2018,6,,0.4523779381460986,False
Volleyball,0-17,2018,1065,37000.0,0.11544846804769078,True
Volleyball,18-44,2018,316,14200.0,0.10182544580585279,True
Volleyball,45+,2018,70,3400.0,0.22123830694558919,True
Snow sports,0-17,2018,455,,0.3788321986952105,False
Snow sports,18-44,2018,495,23000.0,0.2796655049141434,True
Snow sports,45+,2018,164,,0.40887354542672383,False
Hockey,0-17,2018,893,22600.0,0.25725347728205894,True
Hockey,18-44,2018,352,14300.0,0.24685832408050543,True
Hockey,45+,2018,68,2800.0,0.3012379952134554,True
Fishing,0-17,2018,292,14800.0,0.22722760789694918,True
Fishing,18-44,2018,376,21000.0,0.1776147701890718,True
Fishing,45+,2018,426,24300.0,0.14637320028080025,True
Basketball,0-17,2019,8575,243000.0,0.11326346780939997,True
Basketball,18-44,2019,3897,146300.0,0.08374590834613604,True
Basketball,45+,2019,315,12300.0,0.09338545739343561,True
Exercise/fitness,0-17,2019,1863,59000.0,0.11681798828213025,True
Exercise/fitness,18-44,2019,3468,148600.0,0.09820158438892727,True
Exercise/fitness,45+,2019,3466,158100.0,0.14923038368716954,True
Football,0-17,2019,8060,235000.0,0.12876379730370527,True
Football,18-44,2019,1260,50900.0,0.09796772679642585,True
Football,45+,2019,100,4800.0,0.13245705890370624,True
Soccer,0-17,2019,5013,130600.0,0.17804544453271862,True
Soccer,18-44,2019,1409,52300.0,0.1347169332006869,True
Soccer,45+,2019,124,4600.0,0.16429636756056037,True
Swimming/diving,0-17,2019,3408,110100.0,0.29317983097358413,True
Swimming/diving,18-44,2019,947,46800.0,0.11502891623298658,True
Swimming/diving,45+,2019,603,31900.0,0.22481383455261422,True
Baseball/softball,0-17,2019,3027,96400.0,0.13562079410038655,True
Baseball/softball,18-44,2019,974,45000.0,0.0932258696072678,True
Baseball/softball,45+,2019,286,14400.0,0.19108296119683113,True
Weight training,0-17,2019,612,19500.0,0.1495729915130242,True
Weight training,18-44,2019,1305,54400.0,0.10912188971564572,True
Weight training,45+,2019,516,22700.0,0.12695272957229298,True
Other sport/recreation,0-17,2019,2341,69400.0,0.19409195478730615,True
Other sport/recreation,18-44,2019,503,20900.0,0.11203749812908005,True
Other sport/recreation,45+,2019,80,3500.0,0.14926146388039938,True
Combat sports,0-17,2019,1386,42600.0,0.12887187703594125,True
Combat sports,18-44,2019,763,30800.0,0.09123660779133244,True
Combat sports,45+,2019,103,4000.0,0.1475475784770557,True
Other ball sports,0-17,2019,1533,45000.0,0.13945773871019287,True
Other ball sports,18-44,2019,249,11000.0,0.15403387756959042,True
Other ball sports,45+,2019,264,,0.3980264129478625,False
Gymnastics/cheerleading,0-17,2019,1988,55700.0,0.1731505797515798,True
Gymnastics/cheerleading,18-44,2019,152,5800.0,0.1140549781455203,True
Gymnastics/cheerleading,45+,2019,6,,0.5076331224416726,False
Volleyball,0-17,2019,1082,34100.0,0.13727670840401074,True
Volleyball,18-44,2019,303,13300.0,0.12932289747747477,True
Volleyball,45+,2019,71,3300.0,0.25586275922441293,True
Snow sports,0-17,2019,431,,0.41487069687328715,False
Snow sports,18-44,2019,484,23200.0,0.29108031589667743,True
Snow sports,45+,2019,180,,0.39532578993178624,False
Hockey,0-17,2019,829,20600.0,0.2352377635688291,True
Hockey,18-44,2019,325,13000.0,0.23310649597322433,True
Hockey,45+,2019,72,3000.0,0.30268441757899844,True
Fishing,0-17,2019,327,17900.0,0.23035835195876897,True
Fishing,18-44,2019,337,19900.0,0.1766478564383374,True
Fishing,45+,2019,403,23800.0,0.14486718094827294,True
Basketball,0-17,2020,4587,117900.0,0.11770326133722374,True
Basketball,18-44,2020,2302,87000.0,0.09122125774913789,True
Basketball,45+,2020,217,8800.0,0.1279837840566055,True
Exercise/fitness,0-17,2020,1323,32900.0,0.12895397028395045,True
Exercise/fitness,18-44,2020,3324,133400.0,0.09068968766218002,True
Exercise/fitness,45+,2020,3332,142900.0,0.15226565027627692,True
Football,0-17,2020,3548,91300.0,0.16334427829602585,True
Football,18-44,2020,756,28100.0,0.09941159396368987,True
Football,45+,2020,53,2300.0,0.18130265444994575,True
Soccer,0-17,2020,2402,54500.0,0.23548045343187232,True
Soccer,18-44,2020,711,24300.0,0.11644856319833381,True
Soccer,45+,2020,58,2400.0,0.15782821113045392,True
Swimming/diving,0-17,2020,2510,,0.35493522616239365,False
Swimming/diving,18-44,2020,716,32400.0,0.13660409313710548,True
Swimming/diving,45+,2020,486,24000.0,0.2670483347111157,True
Baseball/softball,0-17,2020,1526,40800.0,0.15729891932271128,True
Baseball/softball,18-44,2020,447,21600.0,0.10919287681745922,True
Baseball/softball,45+,2020,149,7200.0,0.24352247608756855,True
Weight training,0-17,2020,489,13800.0,0.17942916955643848,True
Weight training,18-44,2020,927,37500.0,0.11267805573746821,True
Weight training,45+,2020,326,13300.0,0.14156615002596024,True
Other sport/recreation,0-17,2020,885,22500.0,0.2308211216069747,True
Other sport/recreation,18-44,2020,236,10100.0,0.13128337507502927,True
Other sport/recreation,45+,2020,58,2900.0,0.16471356608012874,True
Combat sports,0-17,2020,797,23000.0,0.1609768933241255,True
Combat sports,18-44,2020,540,22600.0,0.0972022453954398,True
Combat sports,45+,2020,62,2400.0,0.1572705295815775,True
Other ball sports,0-17,2020,815,19200.0,0.17597740958073846,True
