product_code,official_label,suggested_tier,classification_type,activity_family,include_core,include_extended,total_count_2010_2025,count_2024,years_observed,rationale,review_status
3224,OTHER GUNS OR FIREARMS,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,0,0,0,"excluded: product is an object, not an activity context",CONFIRMED
3225,"ORGANIZED SOCCER (ACTIVITY, APPAREL OR EQUIPMENT)",1_sport,sport,Soccer,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3226,"BASKETBALL (ACTIVITY, APPAREL OR EQUIPMENT), N.S.",1_sport,sport,Basketball,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3227,"INFORMAL FOOTBALL (ACTIVITY, APPAREL OR EQUIPMENT)",1_sport,sport,Football,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3228,"ORGANIZED BASEBALL (ACTIVITY, APPAREL OR EQUIPMENT)",1_sport,sport,Baseball/softball,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3231,"GYMNASTICS (ACTIVITY, APPAREL OR EQUIPMENT), N.S.",4_ambiguous,ambiguous,Gymnastics/cheerleading,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3237,"ORGANIZED GYMNASTICS (ACTIVITY, APPAREL OR EQUIP.)",4_ambiguous,ambiguous,Gymnastics/cheerleading,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3240,"INFORMAL BASEBALL (ACTIVITY, APPAREL OR EQUIPMENT)",1_sport,sport,Baseball/softball,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3241,"INFORMAL SOCCER (ACTIVITY, APPAREL OR EQUIPMENT)",1_sport,sport,Soccer,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3242,"ORGANIZED BASKETBALL (ACTIVITY, APPAREL OR EQUIP.)",1_sport,sport,Basketball,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3243,"ORGANIZED VOLLEYBALL (ACTIVITY, APPAREL OR EQUIP.)",1_sport,sport,Volleyball,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3244,"FOOTBALL (ACTIVITY, APPAREL OR EQUIPMENT), N.S.",1_sport,sport,Football,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3253,"GUNS, NOT SPECIFIED",4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,0,0,0,"excluded: product is an object, not an activity context",CONFIRMED
3258,MINIBIKES OR TRAIL BIKES,4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,0,0,0,"excluded: motorised recreation, not sport or exercise participation",CONFIRMED
3263,"INFORMAL GYMNASTICS (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Gymnastics/cheerleading,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3267,"INFORMAL BASKETBALL (ACTIVITY, APPAREL OR EQUIP.)",1_sport,sport,Basketball,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3268,"INFORMAL VOLLEYBALL (ACTIVITY, APPAREL OR EQUIP.)",1_sport,sport,Volleyball,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3269,"ORGANIZED FOOTBALL (ACTIVITY, APPAREL OR EQUIPMENT)",1_sport,sport,Football,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3270,"BASEBALL (ACTIVITY, APPAREL OR EQUIP.), NOT SPECIFIED",1_sport,sport,Baseball/softball,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3271,"SOCCER (ACTIVITY, APPAREL OR EQUIPMENT), NOT SPECIFIED",1_sport,sport,Soccer,TRUE,TRUE,0,0,0,deliberate sport or exercise participation,CONFIRMED
3292,"PERSONAL WATERCRAFT, POWERED",4_ambiguous,ambiguous,Water sports,FALSE,FALSE,0,0,0,"excluded: motorised recreation, not sport or exercise participation",CONFIRMED
3298,"BOATS AND BOATING (ACTIVITY, APPAREL OR EQUIPMENT)",4_ambiguous,ambiguous,Water sports,FALSE,TRUE,0,0,0,"Extended only: active recreation, participation intent ambiguous",CONFIRMED
5004,"TOYS, NOT ELSEWHERE CLASSIFIED",4_ambiguous,ambiguous,Other sport/recreation,FALSE,FALSE,0,0,0,Excluded: unspecified toy,CONFIRMED
